Dept,ano,desplazados_expulsion,desplazados_recepcion
AMAZONAS,1993,47,44
AMAZONAS,1994,13,7
AMAZONAS,1995,31,19
AMAZONAS,1996,22,16
AMAZONAS,1997,16,41
AMAZONAS,1998,31,34
AMAZONAS,1999,42,46
AMAZONAS,2000,100,89
AMAZONAS,2001,78,118
AMAZONAS,2002,114,116
AMAZONAS,2003,213,219
AMAZONAS,2004,214,218
AMAZONAS,2005,125,188
AMAZONAS,2006,188,207
AMAZONAS,2007,225,83
AMAZONAS,2008,132,176
AMAZONAS,2009,135,151
AMAZONAS,2010,92,168
AMAZONAS,2011,97,127
AMAZONAS,2012,163,94
AMAZONAS,2013,188,130
AMAZONAS,2014,235,177
AMAZONAS,2015,167,43
AMAZONAS,2016,87,51
AMAZONAS,2017,42,56
ANTIOQUIA,1993,23332,13946
ANTIOQUIA,1994,26395,17524
ANTIOQUIA,1995,61410,44549
ANTIOQUIA,1996,66129,52163
ANTIOQUIA,1997,92648,108839
ANTIOQUIA,1998,79275,68932
ANTIOQUIA,1999,59934,60205
ANTIOQUIA,2000,146447,144836
ANTIOQUIA,2001,150786,134658
ANTIOQUIA,2002,111075,104846
ANTIOQUIA,2003,66584,63333
ANTIOQUIA,2004,60455,62287
ANTIOQUIA,2005,65458,62976
ANTIOQUIA,2006,54286,56343
ANTIOQUIA,2007,52403,52547
ANTIOQUIA,2008,52521,55409
ANTIOQUIA,2009,40711,45321
ANTIOQUIA,2010,45441,46843
ANTIOQUIA,2011,56410,61156
ANTIOQUIA,2012,47031,51310
ANTIOQUIA,2013,48611,52169
ANTIOQUIA,2014,35227,40112
ANTIOQUIA,2015,28896,32184
ANTIOQUIA,2016,17055,18817
ANTIOQUIA,2017,11351,13343
ARAUCA,1993,528,412
ARAUCA,1994,560,458
ARAUCA,1995,676,421
ARAUCA,1996,734,359
ARAUCA,1997,889,592
ARAUCA,1998,1761,1180
ARAUCA,1999,2038,1592
ARAUCA,2000,2378,1523
ARAUCA,2001,2880,1802
ARAUCA,2002,9390,6117
ARAUCA,2003,8472,4540
ARAUCA,2004,9468,6063
ARAUCA,2005,8044,5349
ARAUCA,2006,13534,8804
ARAUCA,2007,16212,11302
ARAUCA,2008,14187,10539
ARAUCA,2009,7376,5540
ARAUCA,2010,5818,4365
ARAUCA,2011,3414,2785
ARAUCA,2012,3578,2582
ARAUCA,2013,3033,2369
ARAUCA,2014,3072,2412
ARAUCA,2015,2705,1834
ARAUCA,2016,1884,1223
ARAUCA,2017,1172,466
ATLANTICO,1993,43,1629
ATLANTICO,1994,101,1591
ATLANTICO,1995,50,2112
ATLANTICO,1996,161,4111
ATLANTICO,1997,186,6629
ATLANTICO,1998,196,10387
ATLANTICO,1999,267,12874
ATLANTICO,2000,1148,36625
ATLANTICO,2001,846,29193
ATLANTICO,2002,1278,29061
ATLANTICO,2003,1516,17621
ATLANTICO,2004,1782,19126
ATLANTICO,2005,1647,22257
ATLANTICO,2006,1562,13994
ATLANTICO,2007,1600,9460
ATLANTICO,2008,1337,7896
ATLANTICO,2009,630,4189
ATLANTICO,2010,673,3718
ATLANTICO,2011,669,4039
ATLANTICO,2012,739,2866
ATLANTICO,2013,956,3454
ATLANTICO,2014,921,3135
ATLANTICO,2015,714,1707
ATLANTICO,2016,444,827
ATLANTICO,2017,271,408
BOGOTA,1993,38,1490
BOGOTA,1994,50,1571
BOGOTA,1995,92,2165
BOGOTA,1996,112,3582
BOGOTA,1997,167,7173
BOGOTA,1998,173,8675
BOGOTA,1999,215,7440
BOGOTA,2000,309,12277
BOGOTA,2001,368,28106
BOGOTA,2002,605,54363
BOGOTA,2003,369,29727
BOGOTA,2004,524,29880
BOGOTA,2005,999,37005
BOGOTA,2006,1114,45274
BOGOTA,2007,1353,53816
BOGOTA,2008,1422,49236
BOGOTA,2009,1089,28856
BOGOTA,2010,512,20580
BOGOTA,2011,472,35373
BOGOTA,2012,719,23387
BOGOTA,2013,577,30123
BOGOTA,2014,712,32326
BOGOTA,2015,602,17120
BOGOTA,2016,400,8789
BOGOTA,2017,209,5122
BOLIVAR,1993,2366,1918
BOLIVAR,1994,2472,1953
BOLIVAR,1995,3666,3072
BOLIVAR,1996,6391,5089
BOLIVAR,1997,12890,11505
BOLIVAR,1998,51056,34324
BOLIVAR,1999,49149,32350
BOLIVAR,2000,104026,75502
BOLIVAR,2001,81234,60320
BOLIVAR,2002,64477,46172
BOLIVAR,2003,31625,24466
BOLIVAR,2004,30781,23605
BOLIVAR,2005,42108,31071
BOLIVAR,2006,41156,29960
BOLIVAR,2007,32081,20936
BOLIVAR,2008,20577,13759
BOLIVAR,2009,9431,7785
BOLIVAR,2010,7355,6593
BOLIVAR,2011,7862,7208
BOLIVAR,2012,6082,5921
BOLIVAR,2013,9428,8898
BOLIVAR,2014,9928,8140
BOLIVAR,2015,7377,6570
BOLIVAR,2016,3923,2677
BOLIVAR,2017,2729,1344
BOYACA,1993,410,253
BOYACA,1994,426,179
BOYACA,1995,314,273
BOYACA,1996,279,258
BOYACA,1997,404,314
BOYACA,1998,640,565
BOYACA,1999,911,642
BOYACA,2000,1201,1993
BOYACA,2001,2369,3304
BOYACA,2002,2819,2700
BOYACA,2003,2374,2623
BOYACA,2004,2599,2536
BOYACA,2005,2368,2062
BOYACA,2006,2554,1849
BOYACA,2007,2613,1947
BOYACA,2008,2096,2039
BOYACA,2009,1283,1384
